n	y	pT	pZ	theta	eta
91	-0.819989	-3.12115	-3.29681	0.758035	0.920616
92	1.39482	5.60008	11.1362	0.465941	1.43852
93	0.241945	-7.24678	1.82428	-1.32418	nan
94	1.71758	-5.11354	14.6141	-0.33659	nan
95	-1.61978	-7.24615	-18.121	0.380399	1.64752
96	-3.04063	-7.61556	-81.6601	0.0929903	3.06769
97	2.60081	3.77856	28.0432	0.133934	2.70206
98	3.1443	-7.40629	88.263	-0.0837156	nan
99	1.20297	-3.3559	5.76877	-0.526881	nan
100	-1.29492	-7.57832	-13.1512	0.52277	1.31862
101	-4.44561	5.26281	-237.058	-0.0221969	nan
102	-3.94471	2.45517	-78.6074	-0.0312232	nan
103	2.01908	9.26579	34.9177	0.259383	2.03697
104	-4.93323	-5.67044	-412.94	0.013731	4.98123
105	-1.51467	5.77979	-13.1001	-0.415512	nan
106	0.473021	0.113224	0.885292	0.127205	2.75376
107	1.48165	4.07321	9.29144	0.413151	1.56272
108	-0.790392	-8.25062	-7.39161	0.840259	0.805806
109	-4.11312	1.60159	-73.6314	-0.021748	nan
110	-1.06115	-9.42555	-12.2042	0.657635	1.07528
111	2.36631	1.11971	11.1972	0.0996676	2.99823
112	-0.544111	-9.76015	-5.6706	1.04447	0.55246
113	0.569329	-2.56971	1.8843	-0.938087	nan
114	-4.53688	-2.78601	-154.88	0.0179862	4.71127
115	-2.23134	-4.1135	-20.6654	0.196484	2.3171
116	2.22714	2.97338	15.9285	0.184547	2.38016
117	-3.20131	-8.90542	-111.407	0.0797665	3.22127
118	3.30776	7.16731	100.825	0.0709672	3.33827
119	0.467483	-6.01255	3.04206	-1.1024	nan
120	3.5351	8.97341	156.82	0.0571589	3.5548
121	-1.99009	5.24131	-19.8936	-0.257613	nan
122	-4.6602	-7.81587	-423.67	0.0184459	4.68603
123	-0.677546	4.96641	-3.85937	-0.91018	nan
124	-4.77775	0.733092	-115.475	-0.00634842	nan
125	0.540611	-7.90555	4.59986	-1.04383	nan
126	-4.32263	-0.75894	-73.619	0.0103087	5.26791
127	2.24618	3.09979	16.75	0.182992	2.38866
128	-0.901681	-9.10987	-9.55462	0.761574	0.915477
129	-4.80866	1.62714	-148.691	-0.0109427	nan
130	3.68237	-0.748643	38.7121	-0.0193363	nan
131	-1.22486	7.71726	-12.3219	-0.559535	nan
132	1.98893	-4.00876	15.7556	-0.249147	nan
133	2.38955	2.1887	15.3264	0.141847	2.64448
134	2.72281	4.4891	36.6545	0.121864	2.79676
135	4.18179	6.58317	223.402	0.0294593	4.21782
136	1.63783	-6.08297	15.6993	-0.369656	nan
137	1.73339	6.22822	17.7739	0.337044	1.77116
138	-1.16321	-0.0838384	-2.60175	0.0322127	4.12845
139	-4.5359	-9.89162	-469.008	0.0210874	4.55219
140	-4.25417	0.167795	-63.6207	-0.00263742	nan
141	0.0658752	-5.67243	0.392318	-1.50174	nan
142	1.71835	0.557422	5.08389	0.109209	2.90665
143	4.29891	3.54697	146.386	0.0242255	4.41345
144	-3.06477	0.889181	-21.4646	-0.0414019	nan
145	2.23517	-7.05758	33.6537	-0.206716	nan
146	1.64591	5.56263	14.5957	0.36412	1.69228
147	-4.4069	6.46839	-275.29	-0.0234923	nan
148	-2.86224	8.61485	-76.7594	-0.111764	nan
149	4.85282	2.63346	204.298	0.0128895	5.04447
150	0.263364	-7.29609	2.0021	-1.30298	nan
151	-2.72459	-4.39479	-36.0568	0.121287	2.80152
152	-1.65843	-6.62506	-17.3713	0.364353	1.69163
153	-3.66322	4.50696	-94.5411	-0.0476359	nan
154	4.23747	-1.71589	86.0664	-0.0199342	nan
155	0.484751	-5.56721	2.94866	-1.08371	nan
156	-4.07465	-5.40019	-167.39	0.0322499	4.1273
157	-0.502512	8.54484	-4.57515	-1.07921	nan
158	-3.41012	-7.85915	-121.891	0.0643879	3.43563
159	-4.40727	-6.13394	-262.203	0.0233896	4.44857
160	3.43377	2.70083	50.2448	0.0537018	3.61722
161	-3.5414	-0.482913	-32.1351	0.0150265	4.89107
162	1.84327	-0.418907	5.69109	-0.073475	nan
163	-0.285436	5.36067	-1.63609	-1.27457	nan
164	-1.60281	2.98969	-8.31544	-0.345143	nan
165	3.8273	-9.13196	213.688	-0.042709	nan
166	-0.460159	-7.77911	-3.80525	1.11586	0.471498
167	-1.73491	2.84857	-9.25295	-0.298648	nan
168	-2.03834	3.38234	-14.4592	-0.229791	nan
169	3.47522	-4.07067	71.8236	-0.0566154	nan
170	2.1437	-1.60855	10.1554	-0.157088	nan
171	2.56209	2.09229	17.7824	0.117122	2.83654
172	2.53636	-2.84486	21.1322	-0.133818	nan
173	3.22368	0.712712	24.2775	0.0293484	4.22159
174	-0.728132	4.56701	-3.89866	-0.864182	nan
175	-1.17115	-6.94785	-10.4632	0.586171	1.19807
176	3.76791	-5.50415	125.278	-0.0439074	nan
177	-4.11284	-9.05952	-282.196	0.0320926	4.13219
178	-1.67061	4.18121	-11.6702	-0.344034	nan
179	-3.20548	-9.04658	-113.578	0.0794831	3.22483
180	-2.92477	6.69859	-64.4247	-0.103603	nan
181	1.62535	-5.34048	13.7605	-0.370207	nan
182	1.28562	-5.09702	9.02841	-0.513949	nan
183	-2.84127	-6.4046	-56.8115	0.11226	2.87903
184	-1.01456	-3.39599	-4.60375	0.635554	1.11193
185	1.82504	6.80862	21.2749	0.309731	1.85716
186	-3.7234	1.72673	-51.6081	-0.033446	nan
187	0.551654	3.30133	2.18113	0.986949	0.620158
188	2.73848	-8.75774	68.8388	-0.126541	nan
189	4.33576	2.34508	112.884	0.0207712	4.5673
190	-3.14362	-9.79033	-115.196	0.0847849	3.16019
191	-3.00707	0.358966	-18.5184	-0.0193819	nan
192	-3.43339	-9.83272	-154.685	0.0634805	3.44983
193	0.757028	6.75367	5.81126	0.860261	0.779187
194	4.43019	-3.68934	172.278	-0.0214118	nan
195	-3.36748	5.39731	-82.4159	-0.0653953	nan
196	-3.71345	-3.83921	-86.8622	0.0441701	3.81269
197	-2.79755	3.24777	-30.3434	-0.106628	nan
198	2.65964	1.00119	14.6456	0.0682546	3.37727
199	3.46697	-1.22823	34.875	-0.0352036	nan
200	-1.43272	0.434962	-3.65865	-0.118331	nan
201	-4.79633	-3.91636	-260.891	0.0150104	4.89214
202	-1.14024	-7.95225	-11.4465	0.607183	1.16067
203	3.28474	-6.6961	92.4438	-0.072308	nan
204	-0.694043	-9.55377	-7.30228	0.918184	0.704576
205	4.92438	7.96067	561.505	0.0141764	4.9493
206	-2.49296	1.57553	-14.37	-0.109204	nan
207	-0.0411597	-3.54266	-0.163603	1.52465	0.0461645
208	-0.759484	-9.28367	-7.89275	0.8662	0.771371
209	4.68956	-5.10585	294.503	-0.0173355	nan
210	3.02791	0.152111	18.6111	0.00817294	5.50007
211	-1.73402	-7.28413	-20.5843	0.340116	1.76191
212	-2.15402	-5.36289	-24.0516	0.219385	2.20605
213	2.96494	3.57143	38.6782	0.0920761	3.07758
214	2.54632	-8.06237	52.3807	-0.15272	nan
215	-2.09436	0.208097	-7.24532	-0.0287137	nan
216	-1.25504	-6.87666	-11.4548	0.540663	1.28332
217	1.99155	3.90516	15.4594	0.247431	2.08465
218	-2.99259	6.99713	-71.8417	-0.0970902	nan
219	0.361759	0.177644	0.668696	0.25966	2.03589
220	2.83098	0.638888	16.1427	0.0395569	3.92303
221	-1.10259	-2.38435	-4.00316	0.537192	1.29009
222	3.0773	0.404746	19.9749	0.0202599	4.59222
223	1.27884	6.88766	11.7965	0.528476	1.30724
224	0.414315	6.7933	2.99571	1.15547	0.427811
225	-2.5243	8.04511	-51.1215	-0.156092	nan
226	-2.91731	-2.33088	-27.1489	0.0856452	3.15008
227	2.48222	-2.79205	19.7395	-0.140513	nan
228	-3.02666	1.73524	-25.727	-0.0673464	nan
229	2.1166	7.41694	31.2251	0.23321	2.14442
230	-1.74694	-1.7611	-7.00412	0.246332	2.08915
231	0.576039	2.97812	2.11722	0.952774	0.661596
232	-3.40939	-3.22988	-55.8589	0.0577578	3.54437
233	-2.32839	-6.40921	-33.8315	0.187226	2.36566
234	0.243348	-0.113719	0.443244	-0.251145	nan
235	4.35911	7.04253	284.122	0.0247819	4.39074
236	1.89797	-1.8016	8.30538	-0.21361	nan
237	0.292469	-8.94155	2.70578	-1.27695	nan
238	-0.329693	-2.30471	-0.981693	1.16812	0.41402
239	2.35177	-7.50494	40.1671	-0.184713	nan
240	2.20005	-7.51339	34.4374	-0.214809	nan
241	1.20713	-3.43513	5.90417	-0.52694	nan
242	2.88555	-4.95548	47.0752	-0.104881	nan
243	-3.39734	1.86534	-38.6898	-0.0481753	nan
244	-4.64057	-8.25079	-437.419	0.0188602	4.66382
245	4.45505	-8.07509	355.952	-0.022682	nan
246	0.945157	-9.50882	10.5709	-0.732553	nan
247	2.60022	3.95343	29.088	0.135085	2.69347
248	2.64335	-6.36005	46.2331	-0.136707	nan
249	3.29188	-6.70033	93.1629	-0.071797	nan
250	3.75804	2.76345	70.6444	0.0390979	3.93471
251	2.65859	5.95126	44.1635	0.133948	2.70195
252	1.42101	5.67264	11.6046	0.454669	1.4639
253	0.018871	-5.67175	0.112299	-1.551	nan
254	-2.58554	9.5926	-64.3923	-0.147884	nan
255	1.40846	3.852	8.17435	0.440368	1.49695
256	0.258293	2.25998	0.754588	1.24854	0.327979
257	1.7773	2.00159	7.73216	0.253305	2.06094
258	0.36304	3.23582	1.37398	1.16925	0.412792
259	2.24012	-0.672098	8.9229	-0.0751808	nan
260	2.02631	-7.52963	28.8546	-0.255259	nan
261	4.76542	4.82888	302.435	0.0159653	4.83046
262	-0.503411	-1.66228	-1.28619	0.912269	0.712038
263	1.02019	-7.49702	9.3029	-0.678316	nan
264	-1.19136	-6.52949	-10.1181	0.573082	1.22197
265	-0.572783	6.47742	-4.06478	-1.01038	nan
266	2.96205	6.35134	63.6576	0.0994444	3.00048
267	3.45189	-8.04731	129.994	-0.0618262	nan
268	4.41726	1.65289	101.242	0.0163248	4.8082
269	0.101126	-0.74463	0.197324	-1.31175	nan
270	2.5032	2.43629	18.3862	0.131739	2.71863
271	3.34915	-1.8297	36.5023	-0.0500838	nan
272	4.10986	8.93239	277.559	0.0321709	4.12975
273	3.37817	-6.20703	94.6243	-0.0655027	nan
274	-0.785404	-0.571288	-1.64049	0.335109	1.77703
275	-0.819147	5.18119	-5.01258	-0.801937	nan
276	0.131077	6.01462	0.825284	1.43443	0.136786
277	3.89148	8.25853	206.928	0.039889	3.91467
278	0.580752	1.39119	1.39671	0.783417	0.884179
279	0.829379	-1.23965	2.02775	-0.548719	nan
280	2.57224	3.27722	24.3386	0.133846	2.70272
281	0.119805	7.1404	0.884334	1.44757	0.123535
282	4.36023	4.83528	201.896	0.0239448	4.4251
283	3.31055	0.738752	26.6207	0.0277439	4.27782
284	-1.89651	-9.22881	-30.6176	0.292761	1.91437
285	-4.32226	-8.55747	-329.439	0.02597	4.3439
286	-2.73258	6.9092	-54.6465	-0.125767	nan
287	1.46265	5.6686	12.1501	0.436528	1.50599
288	-3.93333	5.12471	-138.662	-0.0369416	nan
289	-4.48218	-4.06602	-196.577	0.0206812	4.57164
290	1.23446	-4.87389	8.17154	-0.537803	nan
291	2.24512	7.58514	36.3894	0.205501	2.27192
292	1.69542	9.94697	26.6128	0.357688	1.7105
293	-0.679485	-0.198132	-1.32735	0.148175	2.60068
294	4.99492	-0.748994	143.934	-0.00520367	nan
295	-4.1696	2.90093	-110.399	-0.0262707	nan
296	-2.0696	-7.40603	-29.7068	0.244324	2.09742
297	3.3888	-8.9782	135.506	-0.0661603	nan
298	1.71551	5.21237	14.8328	0.337929	1.76849
299	2.11613	-8.51489	35.5887	-0.234843	nan
300	-4.85385	2.70872	-208.511	-0.0129901	nan
301	2.71226	-9.9764	76.0156	-0.130496	nan
302	3.36199	9.92667	145.335	0.0681961	3.37813
303	-1.20316	-2.93071	-5.21124	0.5123	1.33978
304	1.77307	0.0472176	5.14897	0.00917005	5.38495
305	-3.20687	4.12606	-55.5076	-0.0741969	nan
306	3.36671	8.48641	125.567	0.0674822	3.38866
307	-4.45531	-0.896742	-86.5452	0.0103612	5.26283
308	4.22544	-6.20833	221.036	-0.0280801	nan
309	-1.68284	-7.00371	-18.7833	0.356902	1.71275
310	4.33023	-3.70619	156.46	-0.0236833	nan
311	-4.9703	8.47254	-623.909	-0.0135789	nan
312	-1.03214	5.795	-7.43589	-0.662008	nan
313	-1.73474	8.61457	-24.162	-0.342484	nan
314	2.53668	8.04741	51.7805	0.15418	2.5608
315	-3.57569	6.86382	-126.631	-0.0541505	nan
316	0.139169	-1.958	0.371339	-1.38337	nan
317	-4.04216	6.92632	-203.712	-0.0339875	nan
318	-4.64156	-1.52429	-122.295	0.0124634	5.07809
319	0.632657	6.12181	4.31169	0.957179	0.6562
320	4.60022	-8.10799	413.178	-0.0196209	nan
321	4.48907	-4.35062	209.583	-0.0207555	nan
322	-0.451236	-7.85761	-3.76218	1.12426	0.462165
323	-1.43781	9.5573	-19.3242	-0.459299	nan
324	4.79344	6.83307	426.472	0.0160209	4.82699
325	1.68608	-4.05167	11.556	-0.337218	nan
326	1.82903	0.91221	6.12171	0.147924	2.60238
327	-4.2465	-1.97431	-93.3039	0.0211569	4.5489
328	-1.1351	4.67163	-6.9842	-0.589537	nan
329	-1.94939	-6.78604	-24.1584	0.273841	1.98208
330	3.48836	-2.42834	49.4237	-0.0490936	nan
331	3.46692	-3.05287	56.7159	-0.0537755	nan
332	-4.79269	-1.38985	-137.15	0.0101335	5.28505
333	0.357789	6.72991	2.54605	1.20912	0.36983
334	4.78741	4.06593	266.753	0.0152411	4.87689
335	-1.9753	2.13984	-9.88481	-0.213188	nan
336	2.15508	0.771888	8.33612	0.0923322	3.0748
337	-3.44212	-3.30012	-58.6814	0.0561787	3.5721
338	-2.56389	-2.47007	-19.7274	0.124561	2.77481
339	2.8073	4.68993	41.4559	0.112652	2.87554
340	1.86295	1.19151	6.78621	0.173807	2.44043
341	2.88993	2.21407	25.5904	0.0863047	3.1424
342	-4.06717	6.1376	-186.684	-0.0328651	nan
343	-2.71621	-2.63298	-24.0114	0.109219	2.90655
344	3.75837	-6.05752	135.408	-0.0447056	nan
345	-4.36849	-2.51862	-122.144	0.0206171	4.57475
346	4.75872	-0.260787	106.025	-0.00245966	nan
347	-1.51985	-8.08285	-18.0223	0.421598	1.54188
348	-4.1934	2.99277	-115.655	-0.025871	nan
349	-0.272192	-9.45056	-2.65106	1.29731	0.276964
350	2.23706	-3.45894	18.0516	-0.189319	nan
351	2.83291	5.53186	49.2614	0.111828	2.8829
352	-3.05588	-0.406949	-19.5549	0.0208075	4.56555
353	0.207728	2.57513	0.657357	1.32086	0.252577
354	0.0839259	1.08657	0.176664	1.40962	0.161881
355	0.968861	7.286	8.46355	0.71077	0.991167
356	-2.06324	6.20078	-25.0019	-0.243108	nan
357	-1.71615	-6.68636	-18.6381	0.344445	1.74901
358	1.19232	-1.36815	3.38146	-0.384469	nan
359	2.73786	-9.45473	74.0572	-0.126981	nan
360	-2.81999	8.95843	-76.3757	-0.116761	nan
361	2.13294	-3.40501	16.0245	-0.209374	nan
362	-3.98078	9.93049	-270.173	-0.0367395	nan
363	0.906088	-2.76388	3.41464	-0.680459	nan
364	3.72844	7.8397	167.269	0.0468345	3.7541
365	0.938057	-8.16644	9.04661	-0.734309	nan
366	3.31365	5.0342	73.3753	0.0685016	3.37365
367	4.90891	8.19161	568.158	0.0144168	4.93249
368	-1.80125	-7.10896	-21.6043	0.317894	1.83071
369	-0.157345	-9.00799	-1.45136	1.41105	0.16043
370	1.38033	-1.7398	4.66216	-0.357169	nan
371	-0.392242	-4.83033	-2.07418	1.1652	0.4172
372	-1.64178	-6.90927	-17.7452	0.371299	1.67231
373	-2.02733	-6.57143	-25.4214	0.252962	2.06231
374	-2.99067	-8.33875	-84.6629	0.0981769	3.01333
375	-4.674	8.25543	-452.531	-0.0182408	nan
376	4.49648	4.69525	225.5	0.0208185	4.56503
377	-3.4808	-3.77002	-67.7935	0.0555531	3.58331
378	-1.37031	-1.72945	-4.5962	0.359892	1.70422
379	-3.47024	-8.55742	-140.41	0.0608706	3.49184
380	-2.25189	5.0111	-25.0268	-0.197616	nan
381	0.741544	6.2508	5.27799	0.86958	0.766941
382	-1.36961	2.07116	-5.04846	-0.389316	nan
383	4.99815	7.6758	583.937	0.0131442	5.02491
384	3.61971	-7.19856	138.386	-0.0519712	nan
385	-3.05728	-7.30772	-79.8619	0.0912503	3.0866
386	-0.413019	-3.21498	-1.56543	1.11767	0.469482
387	2.93414	8.17362	78.4727	0.103784	2.95769
388	-3.00991	4.8962	-52.7821	-0.0924978	nan
389	-4.78034	-6.19862	-384.492	0.0161202	4.82081
390	-0.081045	-4.24605	-0.374175	1.4829	0.0880093
391	-1.6658	5.84081	-15.5879	-0.358509	nan
392	3.28593	-6.8566	94.6242	-0.0723349	nan
393	0.599717	-1.10956	1.3455	-0.689589	nan
394	-4.17335	-3.03866	-114.637	0.0265007	4.32367
395	4.61767	-1.5692	120.889	-0.0129798	nan
396	3.22486	0.467537	23.3492	0.020021	4.60409
397	-1.05381	-2.63837	-4.02422	0.580318	1.2087
398	-1.56609	-2.48869	-7.03203	0.340152	1.7618
399	-3.69065	2.32837	-58.9281	-0.0394916	nan
400	-3.50494	4.96357	-87.7762	-0.0564879	nan
401	1.3465	1.33403	4.01468	0.320809	1.82143
402	0.496297	2.52553	1.60316	1.0052	0.598418
403	3.32155	-9.58003	134.845	-0.0709259	nan
404	4.17639	5.07088	175.187	0.0289374	4.2357
405	3.13896	-6.95745	82.7763	-0.0838541	nan
406	3.07358	-4.64874	53.7711	-0.0862398	nan
407	4.32029	2.35907	111.569	0.0211414	4.54963
408	4.43435	-3.85435	179.272	-0.0214967	nan
409	-0.0140838	6.58582	-0.0961588	-1.5562	nan
410	3.9321	-6.36561	168.669	-0.0377223	nan
411	-3.38975	-3.06718	-52.6781	0.0581594	3.53743
412	4.91696	-1.42831	156.918	-0.00910199	nan
413	-2.77171	-8.24939	-67.2244	0.122104	2.79479
414	-3.71954	-8.77159	-184.556	0.0474924	3.74014
415	-2.08117	3.67084	-16.1268	-0.223811	nan
416	-2.08706	5.47696	-22.8795	-0.234962	nan
417	-4.35289	2.08244	-106.922	-0.0194737	nan
418	-0.217792	-0.850373	-0.437007	1.09609	0.49361
419	3.89207	7.87486	197.876	0.0397759	3.91751
420	-3.63239	0.794948	-37.167	-0.0213853	nan
421	0.347709	7.87489	2.86572	1.22179	0.356319
422	-3.39627	-2.21492	-42.5532	0.0520036	3.64936
423	-3.03972	2.82385	-34.9133	-0.080706	nan
424	0.191283	9.78239	1.91424	1.37756	0.194455
425	-3.70365	5.52086	-117.794	-0.0468344	nan
426	4.56385	9.15173	447.426	0.0204513	4.58282
427	-3.44597	7.10475	-114.856	-0.0617793	nan
428	4.78834	-4.76712	305.976	-0.0155788	nan
429	-0.508442	9.21442	-4.9819	-1.07515	nan
430	3.36526	-0.258566	26.2828	-0.00983753	nan
431	-2.85826	2.47503	-26.585	-0.0928312	nan
432	-1.08289	-0.393102	-2.4086	0.161781	2.51247
433	-3.43294	5.01312	-82.3884	-0.0607725	nan
434	-2.22781	-5.51066	-26.5851	0.204389	2.27739
435	1.14781	2.48331	4.34594	0.519131	1.32593
436	-1.52721	4.32981	-10.2882	-0.398352	nan
437	-4.47273	-6.48698	-294.813	0.0220002	4.50981
438	-3.32039	8.33856	-117.872	-0.0706247	nan
439	3.11772	-0.833773	22.3672	-0.0372594	nan
440	3.3852	-9.85271	147.683	-0.0666165	nan
441	2.71565	3.70162	30.9697	0.11896	2.82094
442	-3.45162	-2.76844	-52.0417	0.0531465	3.62761
443	-4.62006	1.1927	-109.574	-0.0108845	nan
444	2.86378	3.09773	31.2962	0.0986597	3.00841
445	1.79938	4.42084	14.0345	0.305158	1.87227
446	0.523477	-3.83805	2.32186	-1.02674	nan
447	-3.05317	-9.24446	-99.5263	0.0926189	3.07169
448	4.17814	4.04069	144.27	0.0280005	4.26861
449	-4.02874	-2.19999	-79.8358	0.0275494	4.28486
450	2.40759	8.62102	48.5134	0.175868	2.42859
451	-3.22032	-7.74846	-99.4194	0.0777799	3.24652
452	-4.20862	-8.46751	-291.076	0.0290822	4.23071
453	3.30823	2.69921	44.2852	0.0608752	3.49177
454	2.7839	-1.91433	21.1794	-0.0901418	nan
455	2.88801	-2.47792	27.4139	-0.0901442	nan
456	-3.16868	8.10486	-98.5236	-0.0820784	nan
457	-0.778942	-3.3407	-3.26402	0.797008	0.865049
458	-3.61076	7.84931	-148.849	-0.0526844	nan
459	1.69993	1.32037	5.90551	0.219966	2.20339
460	-4.24555	9.91689	-351.654	-0.0281932	nan
461	-3.41478	-4.53728	-74.1405	0.0611221	3.48772
462	1.00239	-5.53635	6.86308	-0.678804	nan
463	-4.68624	-3.1444	-196.439	0.0160057	4.82794
464	-3.98164	1.11349	-56.7095	-0.0196324	nan
465	-2.79264	8.21558	-68.3888	-0.119558	nan
466	-0.337432	-2.43914	-1.04241	1.16692	0.415326
467	2.69684	-8.32513	62.8822	-0.131627	nan
468	-0.207399	8.49605	-1.81412	-1.36043	nan
469	-3.40637	-1.79779	-38.3161	0.0468855	3.75301
470	2.26945	5.24804	26.5498	0.195152	2.32394
471	1.89573	3.11331	11.7006	0.260055	2.03435
472	2.73039	-0.617946	14.5338	-0.0424922	nan
473	-2.90702	3.40697	-35.1561	-0.0966082	nan
474	0.4621	-6.96666	3.44462	-1.1116	nan
475	-4.32624	-2.12949	-105.462	0.0201892	4.59572
476	4.81381	-8.67628	545.802	-0.015895	nan
477	-1.09211	9.84906	-13.2414	-0.639528	nan
478	-3.39149	-1.57665	-35.5061	0.044376	3.80804
479	0.611011	-1.48072	1.51441	-0.774149	nan
480	-3.20534	-4.15025	-55.695	0.0743799	3.29125
481	3.41074	8.50026	131.437	0.0645818	3.43262
482	1.97312	4.49859	17.0897	0.257395	2.04475
483	3.9087	6.95577	178.954	0.0388495	3.94108
484	2.83081	-4.98718	44.8033	-0.110856	nan
485	0.27022	3.17373	0.997978	1.26614	0.309485
486	0.460384	-4.65154	2.37822	-1.09817	nan
487	0.778497	8.39484	7.3798	0.849656	0.793241
488	-3.93087	7.779	-203.333	-0.0382389	nan
489	0.808108	3.74169	3.73268	0.786603	0.879671
490	3.25608	9.92042	130.613	0.0758072	3.27223
491	-3.77147	5.77698	-131.368	-0.0439472	nan
492	-3.16715	-0.710995	-22.9315	0.0309953	4.16699
493	-4.84247	5.24224	-351.333	-0.0149199	nan
494	3.14763	4.2713	53.8545	0.0791462	3.22908
495	3.86004	-8.77137	212.419	-0.0412693	nan
